16,Mon Feb  6 16:47:10 2023,1675691230.6280448,doga,"Numof range samp: 256, Numof chirps: 16, f_s: 5.209 MHz, f_c: 79.210 GHz, Bandwidth: 3440.200 MHz, PRI: 324.140 us, Frame time: 100.000 ms, Mx range: 11.154 m, Range res: 0.044 m Mx Dopl: +-0.973 m/s, Doppler res : 0.122 m/s"
17,Tue Feb  7 11:52:52 2023,1675759972.1795623,doga,"Numof range samp: 256, Numof chirps: 16, f_s: 5.209 MHz, f_c: 79.210 GHz, Bandwidth: 3440.200 MHz, PRI: 324.140 us, Frame time: 100.000 ms, Mx range: 11.154 m, Range res: 0.044 m Mx Dopl: +-0.973 m/s, Doppler res : 0.122 m/s"
18,Tue Feb  7 11:54:53 2023,1675760093.4499843,doga,"Numof range samp: 256, Numof chirps: 16, f_s: 5.209 MHz, f_c: 79.210 GHz, Bandwidth: 3440.200 MHz, PRI: 324.140 us, Frame time: 100.000 ms, Mx range: 11.154 m, Range res: 0.044 m Mx Dopl: +-0.973 m/s, Doppler res : 0.122 m/s"
19,Tue Feb  7 11:58:54 2023,1675760334.4917717,doga,"Numof range samp: 256, Numof chirps: 16, f_s: 5.209 MHz, f_c: 79.210 GHz, Bandwidth: 3440.200 MHz, PRI: 324.140 us, Frame time: 100.000 ms, Mx range: 11.154 m, Range res: 0.044 m Mx Dopl: +-0.973 m/s, Doppler res : 0.122 m/s"
20,Tue Feb  7 12:01:12 2023,1675760472.638293,doga,"Numof range samp: 256, Numof chirps: 16, f_s: 5.209 MHz, f_c: 79.210 GHz, Bandwidth: 3440.200 MHz, PRI: 324.140 us, Frame time: 100.000 ms, Mx range: 11.154 m, Range res: 0.044 m Mx Dopl: +-0.973 m/s, Doppler res : 0.122 m/s"
21,Tue Feb  7 12:07:06 2023,1675760826.7673278,doga,"Numof range samp: 256, Numof chirps: 16, f_s: 5.209 MHz, f_c: 79.210 GHz, Bandwidth: 3440.200 MHz, PRI: 324.140 us, Frame time: 100.000 ms, Mx range: 11.154 m, Range res: 0.044 m Mx Dopl: +-0.973 m/s, Doppler res : 0.122 m/s"
22,Tue Feb  7 12:09:59 2023,1675760999.8642871,doga,"Numof range samp: 256, Numof chirps: 16, f_s: 5.209 MHz, f_c: 79.210 GHz, Bandwidth: 3440.200 MHz, PRI: 324.140 us, Frame time: 100.000 ms, Mx range: 11.154 m, Range res: 0.044 m Mx Dopl: +-0.973 m/s, Doppler res : 0.122 m/s"
23,Tue Feb  7 12:13:04 2023,1675761184.1145604,doga,"Numof range samp: 256, Numof chirps: 16, f_s: 5.209 MHz, f_c: 79.210 GHz, Bandwidth: 3440.200 MHz, PRI: 324.140 us, Frame time: 100.000 ms, Mx range: 11.154 m, Range res: 0.044 m Mx Dopl: +-0.973 m/s, Doppler res : 0.122 m/s"
24,Tue Feb  7 12:13:58 2023,1675761238.384674,doga,"Numof range samp: 256, Numof chirps: 16, f_s: 5.209 MHz, f_c: 79.210 GHz, Bandwidth: 3440.200 MHz, PRI: 324.140 us, Frame time: 100.000 ms, Mx range: 11.154 m, Range res: 0.044 m Mx Dopl: +-0.973 m/s, Doppler res : 0.122 m/s"
25,Mon Feb 13 11:42:57 2023,1676277777.1661098,doga,"Numof range samp: 256, Numof chirps: 16, f_s: 5.209 MHz, f_c: 79.210 GHz, Bandwidth: 3440.200 MHz, PRI: 324.140 us, Frame time: 100.000 ms, Mx range: 11.154 m, Range res: 0.044 m Mx Dopl: +-0.973 m/s, Doppler res : 0.122 m/s"
26,Mon Feb 13 11:44:49 2023,1676277889.1752908,doga,"Numof range samp: 256, Numof chirps: 16, f_s: 5.209 MHz, f_c: 79.210 GHz, Bandwidth: 3440.200 MHz, PRI: 324.140 us, Frame time: 100.000 ms, Mx range: 11.154 m, Range res: 0.044 m Mx Dopl: +-0.973 m/s, Doppler res : 0.122 m/s"
27,Mon Feb 13 11:45:34 2023,1676277935.0032737,doga,"Numof range samp: 256, Numof chirps: 16, f_s: 5.209 MHz, f_c: 79.210 GHz, Bandwidth: 3440.200 MHz, PRI: 324.140 us, Frame time: 100.000 ms, Mx range: 11.154 m, Range res: 0.044 m Mx Dopl: +-0.973 m/s, Doppler res : 0.122 m/s"
28,Mon Feb 13 11:51:06 2023,1676278266.932515,doga,"Numof range samp: 256, Numof chirps: 16, f_s: 5.209 MHz, f_c: 79.210 GHz, Bandwidth: 3440.200 MHz, PRI: 324.140 us, Frame time: 100.000 ms, Mx range: 11.154 m, Range res: 0.044 m Mx Dopl: +-0.973 m/s, Doppler res : 0.122 m/s"
29,Mon Feb 13 11:59:06 2023,1676278746.509923,doga,"Numof range samp: 256, Numof chirps: 16, f_s: 5.209 MHz, f_c: 79.210 GHz, Bandwidth: 3440.200 MHz, PRI: 324.140 us, Frame time: 100.000 ms, Mx range: 11.154 m, Range res: 0.044 m Mx Dopl: +-0.973 m/s, Doppler res : 0.122 m/s"
30,Mon Feb 13 11:59:36 2023,1676278776.6546855,doga,"Numof range samp: 256, Numof chirps: 16, f_s: 5.209 MHz, f_c: 79.210 GHz, Bandwidth: 3440.200 MHz, PRI: 324.140 us, Frame time: 100.000 ms, Mx range: 11.154 m, Range res: 0.044 m Mx Dopl: +-0.973 m/s, Doppler res : 0.122 m/s"
31,Mon Feb 13 17:38:51 2023,1676299131.4680333,doga,"Numof range samp: 256, Numof chirps: 16, f_s: 5.209 MHz, f_c: 79.210 GHz, Bandwidth: 3440.200 MHz, PRI: 324.140 us, Frame time: 100.000 ms, Mx range: 11.154 m, Range res: 0.044 m Mx Dopl: +-0.973 m/s, Doppler res : 0.122 m/s"
