0,1,burak,,1,1,1,1.5,1677246016.7483432,1677246018.2483432
1,2,burak,Movement 1,1,1,1,1.5,1677246521.403853,1677246522.903853
2,3,burak,,1,1,1,1.5,1677246688.889964,1677246690.389964
3,4,burak,,1,1,1,10.0,1677246714.605405,1677246724.605405
4,5,burak,,1,1,1,1.0,1677487320.0393996,1677487321.0393996
5,6,burak,,1,1,1,5.0,1677487360.1900797,1677487365.1900797
6,6,burak,,2,1,1,5.0,1677487366.127193,1677487371.127193
7,7,burak,Movement 1,1,1,1,1.0,1677488071.7569976,1677488072.7569976
8,8,burak,,1,1,1,5.0,1677492532.0126219,1677492537.0126219
9,8,burak,,2,1,1,5.0,1677492537.271636,1677492542.271636
10,9,burak,Movement 1,1,1,1,5.0,1677492717.471507,1677492722.471507
11,9,burak,Movement 1,2,1,1,5.0,1677492722.7452145,1677492727.7452145
12,10,burak,,1,1,1,5.0,1677492864.6086822,1677492869.6086822
13,10,burak,,2,1,1,5.0,1677492869.88349,1677492874.88349
14,11,burak,,1,1,1,5.0,1677492962.1378636,1677492967.1378636
15,11,burak,,2,1,1,5.0,1677492967.28406,1677492972.28406
16,12,burak,,1,1,1,5.0,1677493196.1419716,1677493201.1419716
17,12,burak,,2,1,1,5.0,1677493201.598023,1677493206.598023
18,13,burak,,1,1,1,5.0,1677493273.7934647,1677493278.7934647
19,13,burak,,2,1,1,5.0,1677493278.941595,1677493283.941595
20,14,burak,,1,1,1,5.0,1677493399.3018484,1677493404.3018484
21,14,burak,,2,1,1,5.0,1677493404.5731888,1677493409.5731888
22,15,burak,Movement 2,1,1,1,1.0,1677493526.8984747,1677493527.8984747
23,15,burak,Movement 2,2,1,1,1.0,1677493528.0128913,1677493529.0128913
24,16,burak,Movement 2,1,1,1,5.0,1677501445.985612,1677501450.985612
25,16,burak,Movement 2,2,1,1,5.0,1677501451.1313791,1677501456.1313791
26,17,burak,Movement 2,1,1,1,1.0,1677501698.7713242,1677501699.7713242
27,17,burak,Movement 2,2,1,1,1.0,1677501699.953474,1677501700.953474
28,18,burak,Movement 2,1,1,1,5.0,1677503868.221222,1677503873.221222
29,18,burak,Movement 2,2,1,1,5.0,1677503873.3875475,1677503878.3875475
30,19,burak,Movement 2,1,1,1,5.0,1677503956.3312588,1677503961.3312588
31,19,burak,Movement 2,2,1,1,5.0,1677503961.5355892,1677503966.5355892
32,20,burak,Movement 2,1,1,1,2.5,1677504105.0030017,1677504107.5030017
33,20,burak,Movement 2,2,1,1,2.5,1677504107.74432,1677504110.24432
34,21,burak,Movement 1,1,1,1,5.0,1677597006.185645,1677597011.185645
35,21,burak,Movement 1,2,1,1,5.0,1677597011.349371,1677597016.349371
36,22,burak,,1,1,3,3.0,1677597120.8557982,1677597123.8557982
37,22,burak,,2,1,3,3.0,1677597124.0083728,1677597127.0083728
38,22,burak,,1,2,3,3.0,1677597128.7006855,1677597131.7006855
39,22,burak,,2,2,3,3.0,1677597131.8412313,1677597134.8412313
40,22,burak,,1,3,3,3.0,1677597136.5723648,1677597139.5723648
41,22,burak,,2,3,3,3.0,1677597139.6860657,1677597142.6860657
42,23,burak,,1,1,1,10.0,1677661611.6126924,1677661621.6126924
43,24,burak,,1,1,1,10.0,1677661888.258479,1677661898.258479
44,25,burak,Movement 2,1,1,2,5.0,1677668214.7364676,1677668219.7364676
45,25,burak,Movement 2,1,2,2,5.0,1677668221.2682197,1677668226.2682197
46,26,burak,Movement 1,1,1,1,10.0,1677670056.8466134,1677670066.8466134
47,27,burak,Movement 1,1,1,1,10.0,1677670081.5200565,1677670091.5200565
47,27,burak,Movement 1,1,1,1,10.0,1677670094.5470514,1677670104.5470514
48,28,burak,Movement 1,1,1,1,2.0,1677670160.751841,1677670162.751841
49,28,burak,Movement 1,2,1,1,2.0,1677670162.755219,1677670164.755219
50,28,burak,Movement 1,3,1,1,2.0,1677670164.7557714,1677670166.7557714
51,28,burak,Movement 1,4,1,1,2.0,1677670166.7563522,1677670168.7563522
52,28,burak,Movement 1,5,1,1,2.0,1677670168.7987764,1677670170.7987764
53,29,burak,Movement 1,1,1,1,2.0,1677670203.3531954,1677670205.3531954
54,29,burak,Movement 1,2,1,1,2.0,1677670205.3583443,1677670207.3583443
55,29,burak,Movement 1,3,1,1,2.0,1677670207.3598154,1677670209.3598154
56,29,burak,Movement 1,4,1,1,2.0,1677670209.3672185,1677670211.3672185
57,29,burak,Movement 1,5,1,1,2.0,1677670211.3684483,1677670213.3684483
